ticker,model,status,error
AAPL,LSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AAPL,BiLSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AAPL,LSTM-GRU,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AAPL,RNN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AAPL,ANN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AMZN,LSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AMZN,BiLSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AMZN,LSTM-GRU,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AMZN,RNN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AMZN,ANN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AVGO,LSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AVGO,BiLSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AVGO,LSTM-GRU,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AVGO,RNN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
AVGO,ANN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
BTC-USD,LSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
BTC-USD,BiLSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
BTC-USD,LSTM-GRU,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
BTC-USD,RNN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
BTC-USD,ANN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
GOOG,LSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
GOOG,BiLSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
GOOG,LSTM-GRU,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
GOOG,RNN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
GOOG,ANN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
META,LSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
META,BiLSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
META,LSTM-GRU,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
META,RNN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
META,ANN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
MSFT,LSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
MSFT,BiLSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
MSFT,LSTM-GRU,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
MSFT,RNN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
MSFT,ANN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
NVDA,LSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
NVDA,BiLSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
NVDA,LSTM-GRU,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
NVDA,RNN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
NVDA,ANN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
SAP,LSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
SAP,BiLSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
SAP,LSTM-GRU,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
SAP,RNN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
SAP,ANN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
TSLA,LSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
TSLA,BiLSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
TSLA,LSTM-GRU,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
TSLA,RNN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
TSLA,ANN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
TSM,LSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
TSM,BiLSTM,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
TSM,LSTM-GRU,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
TSM,RNN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
TSM,ANN,failed,DataPreprocessor._create_sequences() takes 2 positional arguments but 3 were given
